id,direction,chosenAlt,hhid,pnum,pid,personType,age,cdapActivity,schoolAtHome,schoolMaz,eligible,ArriveInterval,returnInterval,homeSchDist,schHomeDist,ad1Arr,ad1Ret,ad2Dep,ad2Ret,escortType,bundle,childid,chaufid,chaufPnum,chaufPid,chaufPersonType,chaufDArrive,chaufReturn,randNum
1346,2,1,570,3,1481,6,16,1,1,22335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673268556
1347,2,1,570,4,1482,7,11,1,1,25142,1,21,50,1171,1435,28,61,46,55,0,0,0,0,0,0,0,0,0,673268556
1348,0,0,573,1,1485,1,52,1,-1,-1,0,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,0,0,573,2,1486,1,42,1,-1,-1,0,23,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,1,79,573,3,1487,7,13,1,1,22353,1,21,48,342,342,23,65,15,45,1,2,2,1,2,1486,1,23,65,856949409
1351,1,79,573,4,1488,7,10,1,1,22701,1,19,48,342,342,23,65,15,45,1,1,1,2,1,1485,1,15,45,856949409
1352,0,0,573,1,1485,1,52,1,-1,-1,0,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,0,0,573,2,1486,1,42,1,-1,-1,0,23,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1354,2,52,573,3,1487,7,13,1,1,22353,1,21,48,342,342,23,65,15,45,1,1,1,2,1,1485,1,15,45,786832318
1355,2,52,573,4,1488,7,10,1,1,22701,1,19,48,342,342,23,65,15,45,1,1,2,2,1,1485,1,15,45,786832318
1356,0,0,595,1,1528,1,49,1,-1,-1,0,31,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1357,0,0,595,2,1529,4,37,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1358,1,29,595,3,1530,7,9,1,1,26623,1,20,51,2341,2341,0,0,31,86,0,0,0,0,0,0,0,0,0,349984818
1359,1,29,595,4,1531,7,13,1,1,24009,1,16,46,167,167,0,0,31,86,2,1,1,1,2,1529,4,0,0,349984818
1360,0,0,595,1,1528,1,49,1,-1,-1,0,31,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1361,0,0,595,2,1529,4,37,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1362,2,29,595,3,1530,7,9,1,1,26623,1,20,51,2341,2341,0,0,31,86,0,0,0,0,0,0,0,0,0,576381165
1363,2,29,595,4,1531,7,13,1,1,24009,1,16,46,167,167,0,0,31,86,2,1,1,1,2,1529,4,0,0,576381165
1364,0,0,597,1,1533,1,51,1,-1,-1,0,34,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,0,0,597,2,1534,2,17,1,-1,-1,0,30,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366,1,1,597,3,1535,7,12,1,1,24419,1,39,56,214,223,34,70,30,47,0,0,0,0,0,0,0,0,0,456623398
1367,1,1,597,4,1536,7,9,1,1,23540,1,22,48,57,57,34,70,30,47,0,0,0,0,0,0,0,0,0,456623398
1368,0,0,597,1,1533,1,51,1,-1,-1,0,34,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1369,0,0,597,2,1534,2,17,1,-1,-1,0,30,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,2,1,597,3,1535,7,12,1,1,24419,1,39,56,214,223,34,70,30,47,0,0,0,0,0,0,0,0,0,145225442
1371,2,1,597,4,1536,7,9,1,1,23540,1,22,48,57,57,34,70,30,47,0,0,0,0,0,0,0,0,0,145225442
1372,0,0,600,1,1542,1,39,1,-1,-1,0,29,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1373,0,0,600,2,1543,1,36,1,-1,-1,0,51,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1374,1,1,600,3,1544,7,9,2,1,23100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170569588
1375,1,1,600,4,1545,7,7,1,1,24451,1,22,50,189,189,51,87,29,65,0,0,0,0,0,0,0,0,0,170569588
1376,0,0,600,1,1542,1,39,1,-1,-1,0,29,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1377,0,0,600,2,1543,1,36,1,-1,-1,0,51,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378,2,1,600,3,1544,7,9,2,1,23100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599086850
1379,2,1,600,4,1545,7,7,1,1,24451,1,22,50,189,189,51,87,29,65,0,0,0,0,0,0,0,0,0,599086850
1380,0,0,602,1,1547,1,23,1,-1,-1,0,26,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,1,28,602,2,1548,8,6,1,1,25061,1,25,35,315,315,26,62,0,0,1,1,1,1,1,1547,1,26,62,391199805
1382,1,28,602,3,1549,8,0,3,2,23393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391199805
1383,0,0,602,4,1550,4,24,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1384,0,0,602,1,1547,1,23,1,-1,-1,0,26,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,2,31,602,2,1548,8,6,1,1,25061,1,25,35,315,315,26,62,0,0,2,1,1,2,4,1550,4,0,0,761979024
1386,2,31,602,3,1549,8,0,3,2,23393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761979024
1387,0,0,602,4,1550,4,24,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1388,0,0,603,1,1551,1,48,1,-1,-1,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,0,0,603,2,1552,1,49,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1390,0,0,603,3,1553,3,24,1,-1,25485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391,0,0,603,4,1554,1,21,1,-1,-1,0,18,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1392,1,1,603,5,1555,7,15,1,1,21811,1,20,50,558,558,17,23,18,48,0,0,0,0,0,0,0,0,0,205187149
1393,0,0,603,1,1551,1,48,1,-1,-1,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1394,0,0,603,2,1552,1,49,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1395,0,0,603,3,1553,3,24,1,-1,25485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1396,0,0,603,4,1554,1,21,1,-1,-1,0,18,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1397,2,1,603,5,1555,7,15,1,1,21811,1,20,50,558,558,17,23,18,48,0,0,0,0,0,0,0,0,0,148442612
1398,0,0,606,1,1558,1,51,1,-1,-1,0,18,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1399,0,0,606,2,1559,2,17,1,-1,-1,0,21,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,1,50,606,3,1560,7,12,1,1,24009,1,19,53,357,357,18,60,21,81,1,1,2,1,1,1558,1,18,60,731401933
1401,1,50,606,4,1561,7,9,1,1,20205,1,17,48,1344,1344,18,60,21,81,1,1,1,1,1,1558,1,18,60,731401933
1402,0,0,606,1,1558,1,51,1,-1,-1,0,18,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1403,0,0,606,2,1559,2,17,1,-1,-1,0,46,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
