hhid,pnum,pumsSerialNo,persType,persTypeDetailed,age,gender,industry,schlGrade,educLevel,workPlaceType,workPlaceTaz,workPlaceMaz,schoolType,schoolTaz,schoolMaz,dailyActivityPattern,specEvtParticipant,jointTour1Role,jointTour2role,obPeChauffBund1,obPeChauffBund2,obPeChauffBund3,obRsChauffBund,obPePassBund,obRsPassBund,ibPeChauffBund1,ibPeChauffBund2,ibPeChauffBund3,ibRsChauffBund,ibPePassBund,ibRsPassBund,studentDorm,studentRent,activityString
149,2,2.007001071616E12,1,1,42,2,62,0,9,2,4,23989,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
149,3,2.007001071616E12,7,19,11,2,0,4,3,0,0,0,1,358,26241,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[0-3-0]"
150,1,2.008001019904E12,1,1,31,1,62,0,9,2,59,24558,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"[0-412-412-61-15-15-61-0]"
150,2,2.008001019904E12,4,13,30,2,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[0-62-0-411-0]"
150,3,2.008001019904E12,7,19,10,1,0,3,2,0,0,0,1,358,26241,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"[0-3-0]"
150,4,2.008001019904E12,7,19,7,2,0,3,2,0,0,0,1,78,24009,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"[0-412-3-0]"
151,1,2.00900083712E12,5,15,82,2,0,0,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-61-5-0]"
152,1,2.0070006784E12,1,1,41,1,51,0,13,2,135,23594,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-71-72-9-8-0]"
152,2,2.0070006784E12,4,13,40,2,0,0,13,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[0-42-0-411-0]"
152,3,2.0070006784E12,7,19,7,2,0,3,2,0,0,0,1,358,26241,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"[0-3-0]"
152,4,2.0070006784E12,8,21,4,1,0,1,1,0,0,0,1,8,23867,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
154,1,2.01000026112E12,1,1,45,1,56,0,9,1,36,24124,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"[0-411-411-5-0-5-411-0]"
154,2,2.01000026112E12,1,1,42,2,61,0,11,2,199,22259,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
154,3,2.01000026112E12,6,18,16,2,0,5,4,0,0,0,1,53,24076,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"[0-411-3-42-0-42-0]"
154,4,2.01000026112E12,7,19,13,2,0,4,3,0,0,0,1,44,25072,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"[0-3-0-9-0]"
157,1,2.00700133376E12,1,1,47,1,55,0,9,2,186,23530,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-1-61-1-5-0]"
157,2,2.00700133376E12,7,19,8,1,0,3,2,0,0,0,1,44,25142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
158,1,2.01100099584E12,5,15,75,2,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-5-0]"
161,1,2.009000574976E12,1,1,62,1,42,0,13,1,37,24163,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
161,2,2.009000574976E12,1,1,56,2,61,0,13,2,44,25321,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-9-1-0]"
162,1,2.008000495616E12,5,15,72,1,0,0,9,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
162,2,2.008000495616E12,5,15,71,2,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-62-8-0]"
164,1,2.007000416256E12,4,13,63,1,0,0,9,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-6-6-0-8-9-5-0]"
164,2,2.007000416256E12,4,13,58,2,0,0,9,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-8-0-6-6-0-72-0]"
164,3,2.007000416256E12,4,13,28,1,0,0,9,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-6-6-0-8-9-5-0]"
165,1,2.00800075776E12,2,4,20,1,33,0,9,2,130,23220,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-71-0-5-8-0]"
165,2,2.00800075776E12,1,1,22,2,62,0,12,2,134,23283,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-15-5-1-0]"
166,1,2.007000285184E12,1,1,57,1,44,0,12,2,157,21504,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-72-1-0-1-9-0]"
166,2,2.007000285184E12,1,1,52,2,44,0,9,2,477,477,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-0-1-0-5-0]"
167,1,2.01100099584E12,1,1,25,1,81,0,12,2,18,22327,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
167,2,2.01100099584E12,1,1,24,2,62,0,13,2,134,23208,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-15-0-1-5-0]"
167,3,2.01100099584E12,8,21,0,1,0,0,0,0,0,0,2,38,24320,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
168,1,2.011001126912E12,1,1,56,1,61,0,16,2,78,24242,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-5-42-15-15-5-8-0-9-0]"
168,2,2.011001126912E12,1,1,56,2,62,0,16,2,59,24677,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-8-9-1-5-62-1-0-9-6-6-6-0]"
168,3,2.011001126912E12,7,19,15,2,0,5,4,0,0,0,1,336,26619,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-9-73-0-9-6-6-6-0-8-0]"
169,1,2.008001282048E12,1,1,51,1,52,0,9,2,387,22093,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-9-1-72-1-0-8-9-0]"
169,2,2.008001282048E12,1,1,51,2,81,0,9,2,477,477,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-411-0-1-0-42-0]"
169,3,2.008001282048E12,6,18,16,2,0,5,6,0,0,0,1,123,22046,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"[0-3-0]"
