hhid,pnum,parentTourNum,tourSubTourNum,personSubTourNum,parentTourMode,carAvailability,origTaz,origMaz,primDestTaz,primDestMaz,subTourPurp,subTourMode,prelimStartInt,finalStartMin,prelimArriveInt,finalArriveMin,totObStops,totIbStops,obStopSeq,ibStopSeq
764,2,1,1,1,1,1,67,25061,174,25163,5,1,35,521.0,42,623,0,0,"[1-5]","[5-1]"
765,4,1,1,1,1,1,118,22155,186,23464,71,3,39,577.0,40,590,0,0,"[1-71]","[71-1]"
766,1,3,1,1,1,1,395,21843,195,22321,73,2,63,932.0,64,960,0,0,"[1-73]","[73-1]"
768,2,1,1,1,3,1,44,25072,17,23643,72,3,39,575.0,40,588,0,0,"[1-72]","[72-1]"
770,2,1,1,1,1,1,193,22267,194,22474,72,1,35,521.0,41,608,0,0,"[1-72]","[72-1]"
771,2,1,1,1,3,1,117,22133,178,23516,72,1,32,480.0,36,538,0,0,"[1-72]","[72-1]"
801,1,1,1,1,2,1,101,22333,193,22267,5,1,34,497.0,39,585,0,1,"[1-5]","[5-72-1]"
803,3,2,1,1,1,1,193,22267,134,23159,62,1,55,818.0,56,830,0,0,"[1-62]","[62-1]"
803,3,2,2,2,1,1,193,22267,134,23159,8,1,57,848.0,57,845,0,0,"[1-8]","[8-1]"
804,2,1,1,1,1,1,378,25628,174,25163,5,1,30,442.0,33,485,0,0,"[1-5]","[5-1]"
806,2,1,1,1,3,1,76,23846,67,25061,72,3,51,757.0,53,785,0,0,"[1-72]","[72-1]"
809,1,1,1,1,1,1,134,23155,92,23756,61,1,51,753.0,52,766,0,0,"[1-61]","[61-1]"
809,1,1,2,2,1,1,134,23155,174,25163,5,1,54,798.0,56,826,0,0,"[1-5]","[5-1]"
832,2,1,1,1,1,1,169,24792,57,24605,15,14,35,522.0,39,579,0,0,"[1-15]","[15-1]"
834,2,1,1,1,1,1,52,25439,66,25099,72,1,37,546.0,40,589,0,0,"[1-72]","[72-1]"
835,1,1,1,1,3,1,207,22179,142,22276,61,1,35,523.0,39,580,0,0,"[1-61]","[61-1]"
837,1,1,1,1,1,1,36,24313,11,23757,72,1,34,499.0,40,586,0,0,"[1-72]","[72-1]"
837,2,1,1,1,1,1,206,22387,18,22250,72,1,38,559.0,43,631,0,0,"[1-72]","[72-1]"
839,3,1,1,1,14,0,185,23445,387,22093,72,4,31,463.0,35,520,0,0,"[1-72]","[72-1]"
839,3,2,1,2,14,0,185,23445,17,23643,73,14,73,1093.0,74,1105,0,0,"[1-73]","[73-1]"
861,1,1,1,1,1,1,137,22937,382,22548,15,1,27,393.0,32,466,0,1,"[1-15]","[15-15-1]"
