hhid,jointTourNum,chauffPnum,passPnums,partySize,partyType,party,origTaz,origMaz,primaryDestTaz,primaryDestMaz,tourPurpose,chauffTourMode,passTourMode,prelimDepartInterval,finalDepartMinute,prelimArriveInterval,finalArriveMinute,totalObStops,totalIbStops,obStopSeq,ibStopSeq
493,1,1,"[ 2 ]",2,1,"[ 1,2 ]",95,23383,174,25163,5,2,4,27,405.0,37,549,2,3,"[0-5-7-5]","[5-5-5-5-0]"
493,2,2,"[ 4 ]",2,1,"[ 2,4 ]",95,23383,108,23287,6,2,4,40,600.0,42,624,0,1,"[0-6]","[6-5-0]"
497,1,1,"[ 2 ]",2,3,"[ 1,2 ]",96,23447,178,23446,6,3,4,65,975.0,73,1089,0,5,"[0-6]","[6-6-6-6-6-6-0]"
503,1,2,"[ 1 ]",2,1,"[ 2,1 ]",96,23550,18,22250,5,3,4,59,874.0,67,1003,1,13,"[0-8-5]","[5-6-6-5-6-5-6-6-6-5-5-5-5-5-0]"
505,1,2,"[ 1 ]",2,1,"[ 2,1 ]",96,23600,187,23715,6,2,4,36,536.0,44,651,1,4,"[0-6-6]","[6-6-6-7-6-0]"
508,1,2,"[ 3 ]",2,3,"[ 2,3 ]",96,23727,97,23836,9,2,4,59,880.0,66,979,0,0,"[0-9]","[9-0]"
520,1,6,"[ 4 ]",2,3,"[ 6,4 ]",102,22173,165,23212,8,2,4,76,1137.0,89,1327,1,2,"[0-5-8]","[8-5-5-0]"
520,2,6,"[ 5 ]",2,3,"[ 6,5 ]",102,22173,101,22332,8,2,4,58,867.0,73,1087,0,5,"[0-8]","[8-7-8-5-5-6-0]"
521,1,1,"[ 2 ]",2,1,"[ 1,2 ]",102,22256,121,22021,9,3,4,59,884.0,67,998,0,2,"[0-9]","[9-8-6-0]"
521,2,2,"[ 3 ]",2,1,"[ 2,3 ]",102,22256,96,23488,8,3,4,16,239.0,41,608,0,5,"[0-8]","[8-6-5-5-5-6-0]"
523,1,2,"[ 1,4 ]",3,3,"[ 2,1,4 ]",102,22293,193,22267,6,3,4,29,424.0,36,539,1,0,"[0-7-6]","[6-0]"
523,2,2,"[ 5,4 ]",3,3,"[ 2,5,4 ]",102,22293,196,22045,5,3,4,75,1114.0,81,1214,5,0,"[0-9-5-5-5-5-5]","[5-0]"
525,1,4,"[ 5 ]",2,2,"[ 4,5 ]",102,22293,17,23643,7,16,16,57,845.0,76,1140,0,0,"[0-7]","[7-0]"
534,1,2,"[ 1,3,5,4 ]",5,3,"[ 2,1,3,5,4 ]",105,22104,206,22397,9,3,4,57,844.0,65,973,1,1,"[0-6-9]","[9-6-0]"
535,1,2,"[ 1 ]",2,1,"[ 2,1 ]",105,22104,92,23752,6,2,4,79,1185.0,84,1254,0,1,"[0-6]","[6-6-0]"
536,1,1,"[ 3,2 ]",3,3,"[ 1,3,2 ]",105,22104,18,22250,6,3,4,63,934.0,69,1033,2,3,"[0-6-5-6]","[6-5-5-5-0]"
536,2,5,"[ 4 ]",2,3,"[ 5,4 ]",105,22104,172,25243,6,3,4,58,859.0,60,898,1,1,"[0-6-6]","[6-5-0]"
543,1,1,"[ 3 ]",2,3,"[ 1,3 ]",106,22352,106,22623,7,14,14,72,1073.0,78,1157,0,0,"[0-7]","[7-0]"
559,1,2,"[ 1 ]",2,1,"[ 2,1 ]",106,22812,18,22250,5,2,4,30,450.0,48,714,1,4,"[0-7-5]","[5-5-5-5-7-0]"
577,1,1,"[ 3 ]",2,3,"[ 1,3 ]",107,23192,174,25163,5,2,4,35,513.0,39,583,0,0,"[0-5]","[5-0]"
585,1,2,"[ 1 ]",2,1,"[ 2,1 ]",110,23526,185,23445,5,2,4,32,470.0,41,615,1,4,"[0-6-5]","[5-6-6-6-7-0]"
618,1,1,"[ 7,2,4 ]",4,3,"[ 1,7,2,4 ]",114,22837,17,23643,5,3,4,7,104.0,14,204,1,1,"[0-5-5]","[5-5-0]"
625,1,6,"[ 4,1,5 ]",4,3,"[ 6,4,1,5 ]",114,22950,207,22179,5,3,4,29,430.0,41,604,0,5,"[0-5]","[5-6-5-5-7-5-0]"
625,2,1,"[ 3 ]",2,3,"[ 1,3 ]",114,22950,206,22363,5,3,4,54,805.0,61,904,2,1,"[0-5-5-5]","[5-7-0]"
639,1,4,"[ 2 ]",2,3,"[ 4,2 ]",115,22553,114,22949,9,2,4,61,902.0,65,971,0,0,"[0-9]","[9-0]"
641,1,1,"[ 5,7 ]",3,3,"[ 1,5,7 ]",115,22615,134,23208,6,3,4,52,772.0,63,932,2,3,"[0-7-6-6]","[6-5-6-5-0]"
641,2,2,"[ 6 ]",2,3,"[ 2,6 ]",115,22615,184,23343,6,14,14,63,937.0,68,1007,0,2,"[0-6]","[6-6-6-0]"
642,1,5,"[ 4,1,3,2 ]",5,3,"[ 5,4,1,3,2 ]",115,22638,17,23643,5,3,4,63,931.0,73,1090,3,2,"[0-5-6-5-5]","[5-5-5-0]"
650,1,1,"[ 2 ]",2,1,"[ 1,2 ]",115,22738,207,22179,5,2,4,33,492.0,44,652,1,4,"[0-6-5]","[5-5-5-6-5-0]"
652,1,5,"[ 4 ]",2,3,"[ 5,4 ]",116,22654,193,22267,6,2,4,58,862.0,68,1007,0,4,"[0-6]","[6-5-7-7-5-0]"
655,1,1,"[ 3 ]",2,3,"[ 1,3 ]",116,22665,134,23208,6,3,4,56,831.0,59,871,2,0,"[0-7-6-6]","[6-0]"
660,1,1,"[ 5,2,3 ]",4,3,"[ 1,5,2,3 ]",118,22161,101,22333,9,3,4,61,911.0,74,1100,0,0,"[0-9]","[9-0]"
661,1,1,"[ 3,4,5,2 ]",5,3,"[ 1,3,4,5,2 ]",118,22161,208,22473,6,3,4,45,669.0,58,858,0,5,"[0-6]","[6-5-6-6-6-5-0]"
662,1,1,"[ 3,4 ]",3,3,"[ 1,3,4 ]",118,22162,18,22250,5,3,4,62,922.0,74,1097,3,2,"[0-5-5-6-5]","[5-5-5-0]"
662,2,2,"[ 5 ]",2,3,"[ 2,5 ]",118,22162,149,21884,5,2,4,63,937.0,67,992,0,0,"[0-5]","[5-0]"
663,1,2,"[ 5 ]",2,3,"[ 2,5 ]",118,22164,193,22267,5,3,4,25,363.0,36,537,0,4,"[0-5]","[5-5-5-5-5-0]"
666,1,4,"[ 6 ]",2,3,"[ 4,6 ]",118,22165,120,22187,8,3,4,59,880.0,75,1114,0,5,"[0-8]","[8-5-5-9-5-5-0]"
667,1,1,"[ 4 ]",2,3,"[ 1,4 ]",118,22165,150,22182,5,3,4,61,903.0,65,972,1,0,"[0-5-5]","[5-0]"
667,2,1,"[ 3 ]",2,3,"[ 1,3 ]",118,22165,142,22275,6,14,14,67,993.0,71,1062,0,2,"[0-6]","[6-6-6-0]"
668,1,1,"[ 4 ]",2,3,"[ 1,4 ]",118,22165,117,22133,9,3,4,3,40.0,13,185,1,1,"[0-6-9]","[9-5-0]"
668,2,2,"[ 5,4 ]",3,3,"[ 2,5,4 ]",118,22165,118,22155,7,14,14,67,1000.0,75,1115,0,0,"[0-7]","[7-0]"
669,1,2,"[ 1,7 ]",3,3,"[ 2,1,7 ]",118,22165,145,22113,5,3,4,64,946.0,70,1046,1,3,"[0-5-5]","[5-5-5-7-0]"
669,2,4,"[ 6 ]",2,2,"[ 4,6 ]",118,22165,18,22250,5,5,5,62,916.0,75,1121,5,0,"[0-7-5-5-5-5-5]","[5-0]"
671,1,2,"[ 3,4,5 ]",4,3,"[ 2,3,4,5 ]",118,22166,101,22333,7,3,4,75,1123.0,87,1297,0,3,"[0-7]","[7-6-8-5-0]"
674,1,2,"[ 4,7 ]",3,3,"[ 2,4,7 ]",118,22167,193,22267,9,3,4,57,855.0,65,969,0,4,"[0-9]","[9-5-5-5-5-0]"
675,1,8,"[ 2,7,3 ]",4,3,"[ 8,2,7,3 ]",118,22167,196,21863,5,3,4,58,858.0,66,988,0,3,"[0-5]","[5-5-5-5-0]"
676,1,1,"[ 5 ]",2,3,"[ 1,5 ]",118,22176,186,23441,9,3,4,60,899.0,72,1074,1,4,"[0-6-9]","[9-8-6-6-5-0]"
