uniqueid,jointTripNum,hhid,pnum,userClass,tourNum,tourSubTourNum,personTripNum,tourTripNum,mainTourTripNum,subTourTripNum,jointTourNum,jointTripRole,direction,obBundleNum,ibBundleNum,escortingRole,jointSpecEvtTour,party,origTaz,origMaz,destTaz,destMaz,origPurp,destPurp,mode,prelimDepartInterval,finalDepartMinute,tripDistance,prelimArriveInterval,finalArriveMinute,activityMinutesAtDest,pnrParkTaz,pnrParkMaz, vot
16,3,20,2,2,1,0,7,5,5,0,0,0,2,0,1,1,0,"[ 2,4 ]",207,22179,14,23758,9,0,3,52,771.9982707438377,3.35,53,780.77,167.73,0,0,31.025396205629217
17,0,20,2,3,2,0,8,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",14,23758,379,21722,0,42,2,64,950.4982707438377,6.99,65,966.64,22.96,0,0,35.12627477398058
18,0,20,2,3,2,0,9,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",379,21722,14,23758,42,0,2,67,991.5982463297752,6.95,68,1008.22,90.28,0,0,35.12627477398058
19,0,20,2,3,3,0,10,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",14,23758,23,23544,0,42,2,74,1100.4982707438378,0.78,74,1102.65,4.29,0,0,35.12627477398058
20,0,20,2,3,3,0,11,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",23,23544,14,23758,42,0,2,75,1108.9382121500878,0.78,75,1111.11,316.89,0,0,35.12627477398058
21,0,20,3,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",14,23758,53,24076,0,3,17,18,260.49827074383774,0.97,18,263.13,430.37,0,0,5.646262156722458
22,0,20,3,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 3 ]",53,24076,14,23758,3,0,17,47,695.4982707438377,0.97,47,698.19,729.81,0,0,5.646262156722458
23,0,20,4,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 4 ]",14,23758,53,24076,0,3,14,20,290.49827074383774,0.97,20,309.70,452.30,0,0,20.904380019967945
24,2,20,4,3,1,0,2,2,2,0,0,0,2,0,1,2,0,"[ 2,4 ]",53,24076,207,22179,3,9,4,52,763.9982707438377,4.02,52,775.19,-5.19,0,0,20.904380019967945
25,3,20,4,3,1,0,3,3,3,0,0,0,2,0,1,2,0,"[ 2,4 ]",207,22179,14,23758,9,0,4,52,771.9982707438377,3.35,53,780.77,647.23,0,0,20.904380019967945
26,1,20,5,3,1,0,1,1,1,0,0,0,1,1,0,2,0,"[ 2,5 ]",14,23758,384,23100,0,3,4,18,260.49827074383774,1.60,18,264.90,398.60,0,0,6.019658380170821
27,0,20,5,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 5 ]",384,23100,385,23234,3,9,14,45,665.4982707438377,1.50,45,695.50,-24.00,0,0,6.019658380170821
28,0,20,5,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 5 ]",385,23234,14,23758,9,0,14,46,673.4982707438377,1.54,46,704.30,723.70,0,0,6.019658380170821
1,0,21,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",15,23868,264,20904,0,8,1,63,943.6600536803501,16.17,65,972.44,233.16,0,0,21.398824009341304
2,0,21,1,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",264,20904,15,23868,8,0,1,80,1199.440082977225,19.61,83,1235.65,200.51,0,0,21.398824009341304
1,0,22,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",16,23353,66,25054,0,71,4,21,310.405811935542,4.50,22,319.30,19.88,0,0,3.4850582478325234
2,0,22,1,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",66,25054,16,23353,71,0,4,23,336.2657972871045,7.07,24,345.53,117.79,0,0,3.4850582478325234
3,0,22,1,1,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",16,23353,332,26540,0,1,4,31,460.405811935542,22.51,34,498.95,684.37,0,0,5.439884957253702
4,0,22,1,1,2,0,4,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",332,26540,194,22474,1,73,4,79,1180.405811935542,25.10,82,1223.65,14.87,0,0,5.439884957253702
5,0,22,1,1,2,0,5,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",194,22474,385,23291,73,61,4,83,1235.605763107417,2.62,83,1242.36,6.40,0,0,5.439884957253702
6,0,22,1,1,2,0,6,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",385,23291,16,23353,61,8,4,83,1245.845753341792,0.37,83,1246.88,7.62,0,0,5.439884957253702
7,0,22,1,1,2,0,7,5,5,0,0,0,2,0,0,0,0,"[ 1 ]",16,23353,16,23353,8,0,4,84,1251.585743576167,0.20,84,1252.10,180.81,0,0,5.439884957253702
8,0,22,2,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",16,23353,136,22602,0,9,1,43,640.4058119355419,3.29,43,648.10,6.72,0,0,5.4015553626633395
